MAGNITUDE,PLACE,REGISTERED_AT,UPDATED_AT,TZ,URL,DETAIL,FELT,CDI,MMI,ALERT,STATUS,TSUNAMI,SIG,NET,ID,IDS,SOURCES,TYPES,NST,DMIN,RMS,GAP,MAGTYPE,TYPE,TITLE,GEO_TYPE,LATITUDE,LONGITUDE,ALTITUDE,RN
0.5,"48 km S of Silver Peak, Nevada",2024-10-14 01:41:07.183 Z,2024-10-14 01:43:31.377 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885981,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885981.geojson,,,,,automatic,0,4,nn,00885981,",nn00885981,",",nn,",",origin,phase-data,",9,0.088,0.2,173,ml,earthquake,"M 0.5 - 48 km S of Silver Peak, Nevada",Point,-117.6493,37.3212,1.7,1
0.5,"48 km S of Silver Peak, Nevada",2024-10-14 01:41:07.183 Z,2024-10-14 01:43:31.377 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885981,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885981.geojson,,,,,automatic,0,4,nn,00885981,",nn00885981,",",nn,",",origin,phase-data,",9,0.088,0.2,173,ml,earthquake,"M 0.5 - 48 km S of Silver Peak, Nevada",Point,-117.6493,37.3212,1.7,2
0.9,"32 km NNW of Furnace Creek, California",2024-10-14 02:48:21.436 Z,2024-10-14 02:50:32.737 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885982,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885982.geojson,,,,,automatic,0,12,nn,00885982,",nn00885982,",",nn,",",origin,phase-data,",12,0.277,0.2625,241,ml,earthquake,"M 0.9 - 32 km NNW of Furnace Creek, California",Point,-117.0242,36.7033,4.4,1
1,"28 km NW of Furnace Creek, California",2024-10-14 03:41:00.444 Z,2024-10-14 03:43:04.094 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885987,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885987.geojson,,,,,automatic,0,15,nn,00885987,",nn00885987,",",nn,",",origin,phase-data,",22,0.327,0.324,213,ml,earthquake,"M 1.0 - 28 km NW of Furnace Creek, California",Point,-117.0923,36.6175,0,1
1,"28 km NW of Furnace Creek, California",2024-10-14 03:41:00.444 Z,2024-10-14 03:43:04.094 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885987,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885987.geojson,,,,,automatic,0,15,nn,00885987,",nn00885987,",",nn,",",origin,phase-data,",22,0.327,0.324,213,ml,earthquake,"M 1.0 - 28 km NW of Furnace Creek, California",Point,-117.0923,36.6175,0,2
1.1,"32 km WNW of Furnace Creek, California",2024-10-14 03:42:56.582 Z,2024-10-14 03:45:13.386 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885989,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885989.geojson,,,,,automatic,0,19,nn,00885989,",nn00885989,",",nn,",",origin,phase-data,",16,0.397,0.2567,273,ml,earthquake,"M 1.1 - 32 km WNW of Furnace Creek, California",Point,-117.1596,36.5965,6.4,1
1.1,"32 km WNW of Furnace Creek, California",2024-10-14 03:42:56.582 Z,2024-10-14 03:45:13.386 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885989,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885989.geojson,,,,,automatic,0,19,nn,00885989,",nn00885989,",",nn,",",origin,phase-data,",16,0.397,0.2567,273,ml,earthquake,"M 1.1 - 32 km WNW of Furnace Creek, California",Point,-117.1596,36.5965,6.4,2
-0.1,"52 km ESE of Beatty, Nevada",2024-10-14 04:50:32.534 Z,2024-10-14 04:52:31.918 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885990,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885990.geojson,,,,,automatic,0,0,nn,00885990,",nn00885990,",",nn,",",origin,phase-data,",8,0.054,0.0846,200,ml,earthquake,"M -0.1 - 52 km ESE of Beatty, Nevada",Point,-116.271,36.6483,10.5,1
-0.1,"52 km ESE of Beatty, Nevada",2024-10-14 04:50:32.534 Z,2024-10-14 04:52:31.918 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885990,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885990.geojson,,,,,automatic,0,0,nn,00885990,",nn00885990,",",nn,",",origin,phase-data,",8,0.054,0.0846,200,ml,earthquake,"M -0.1 - 52 km ESE of Beatty, Nevada",Point,-116.271,36.6483,10.5,2
1.2,"30 km NW of Furnace Creek, California",2024-10-14 06:11:13.305 Z,2024-10-14 06:13:25.203 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885995,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885995.geojson,,,,,automatic,0,22,nn,00885995,",nn00885995,",",nn,",",origin,phase-data,",22,0.339,0.3009,212,ml,earthquake,"M 1.2 - 30 km NW of Furnace Creek, California",Point,-117.1034,36.6347,12.7,1
1.2,"30 km NW of Furnace Creek, California",2024-10-14 06:11:13.305 Z,2024-10-14 06:13:25.203 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885995,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885995.geojson,,,,,automatic,0,22,nn,00885995,",nn00885995,",",nn,",",origin,phase-data,",22,0.339,0.3009,212,ml,earthquake,"M 1.2 - 30 km NW of Furnace Creek, California",Point,-117.1034,36.6347,12.7,2
1.3,"29 km NW of Furnace Creek, California",2024-10-14 06:20:21.690 Z,2024-10-14 06:22:35.428 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885999,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885999.geojson,,,,,automatic,0,26,nn,00885999,",nn00885999,",",nn,",",origin,phase-data,",27,0.368,0.3189,127,ml,earthquake,"M 1.3 - 29 km NW of Furnace Creek, California",Point,-117.1084,36.6171,2.2,1
1.3,"29 km NW of Furnace Creek, California",2024-10-14 06:20:21.690 Z,2024-10-14 06:22:35.428 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00885999,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00885999.geojson,,,,,automatic,0,26,nn,00885999,",nn00885999,",",nn,",",origin,phase-data,",27,0.368,0.3189,127,ml,earthquake,"M 1.3 - 29 km NW of Furnace Creek, California",Point,-117.1084,36.6171,2.2,2
1.7,"47 km NW of Rachel, Nevada",2024-10-14 06:26:18.181 Z,2024-10-14 06:30:25.006 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886001,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886001.geojson,,,,,automatic,0,44,nn,00886001,",nn00886001,",",nn,",",origin,phase-data,",20,0.792,0.353,222,ml,earthquake,"M 1.7 - 47 km NW of Rachel, Nevada",Point,-116.0562,37.9946,15.9,1
1.7,"47 km NW of Rachel, Nevada",2024-10-14 06:26:18.181 Z,2024-10-14 06:30:25.006 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886001,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886001.geojson,,,,,automatic,0,44,nn,00886001,",nn00886001,",",nn,",",origin,phase-data,",20,0.792,0.353,222,ml,earthquake,"M 1.7 - 47 km NW of Rachel, Nevada",Point,-116.0562,37.9946,15.9,2
